Date,Benchmark Eurostoxx50,Benchmark Stoxx600
2021-06-02,4088.5,451.3399963378906
2021-06-03,4079.239990234375,450.7900085449219
2021-06-04,4089.3798828125,452.5700073242188
2021-06-07,4097.64990234375,453.55999755859375
2021-06-08,4096.009765625,454.010009765625
2021-06-09,4096.85009765625,454.4400024414063
2021-06-10,4096.06982421875,454.55999755859375
2021-06-11,4126.7001953125,457.510009765625
2021-06-14,4132.669921875,458.3200073242188
2021-06-15,4143.52001953125,458.80999755859375
2021-06-16,4151.759765625,459.8599853515625
2021-06-17,4158.14013671875,459.3299865722656
2021-06-18,4083.3701171875,452.0499877929688
2021-06-21,4112.330078125,455.2300109863281
2021-06-22,4123.1298828125,456.4200134277344
2021-06-23,4075.93994140625,453.1000061035156
2021-06-24,4122.43017578125,457.0400085449219
2021-06-25,4120.66015625,457.6300048828125
2021-06-28,4089.909912109375,454.9400024414063
2021-06-29,4107.509765625,456.3699951171875
2021-06-30,4064.300048828125,452.8399963378906
2021-07-01,4078.889892578125,455.6300048828125
2021-07-02,4084.31005859375,456.80999755859375
2021-07-05,4087.3701171875,458.3599853515625
2021-07-06,4052.669921875,455.9800109863281
2021-07-07,4078.530029296875,459.5299987792969
2021-07-08,3991.659912109375,451.6099853515625
2021-07-09,4068.090087890625,457.6700134277344
2021-07-12,4093.3798828125,460.8299865722656
2021-07-13,4094.56005859375,460.9599914550781
2021-07-14,4099.5,460.55999755859375
2021-07-15,4056.389892578125,456.2000122070313
2021-07-16,4035.77001953125,454.739990234375
2021-07-19,3928.530029296875,444.2900085449219
2021-07-20,3956.340087890625,446.6099853515625
2021-07-21,4026.679931640625,453.9700012207031
2021-07-22,4059.050048828125,456.5299987792969
2021-07-23,4109.10009765625,461.510009765625
2021-07-26,4102.58984375,461.1400146484375
2021-07-27,4064.830078125,458.6499938964844
2021-07-28,4103.02978515625,461.7000122070313
2021-07-29,4116.77001953125,463.8399963378906
2021-07-30,4089.300048828125,461.739990234375
2021-08-02,4116.6201171875,464.4500122070313
2021-08-03,4117.9501953125,465.3800048828125
2021-08-04,4144.89990234375,468.2200012207031
2021-08-05,4161.080078125,469.9599914550781
2021-08-06,4174.5400390625,469.9700012207031
2021-08-09,4177.14990234375,470.6799926757813
2021-08-10,4187.81982421875,472.3200073242188
2021-08-11,4206.330078125,474.3200073242188
2021-08-12,4226.330078125,474.8399963378906
2021-08-13,4229.7001953125,475.8299865722656
2021-08-16,4202.43994140625,473.4500122070313
2021-08-17,4196.39990234375,473.7799987792969
2021-08-18,4189.419921875,474.4200134277344
2021-08-19,4124.7099609375,467.239990234375
2021-08-20,4147.5,468.7999877929688
2021-08-23,4176.419921875,471.8800048828125
2021-08-24,4178.080078125,471.7900085449219
2021-08-25,4181.1201171875,471.8399963378906
2021-08-26,4169.8701171875,470.3399963378906
2021-08-27,4190.97998046875,472.3399963378906
2021-08-30,4198.7998046875,472.6799926757813
2021-08-31,4196.41015625,470.8800048828125
2021-09-01,4227.27001953125,473.1199951171875
2021-09-02,4232.10009765625,474.6000061035156
2021-09-03,4201.97998046875,471.9299926757813
2021-09-06,4246.1298828125,475.1900024414063
2021-09-07,4225.009765625,472.8699951171875
2021-09-08,4177.14990234375,467.8699951171875
2021-09-09,4177.10986328125,467.5700073242188
2021-09-10,4170.35009765625,466.3399963378906
2021-09-13,4189.52978515625,467.6900024414063
2021-09-14,4191.669921875,467.6499938964844
2021-09-15,4145.93994140625,463.9100036621094
2021-09-16,4169.8701171875,465.9500122070313
2021-09-17,4130.83984375,461.8399963378906
2021-09-20,4043.6298828125,454.1199951171875
2021-09-21,4097.509765625,458.6799926757813
2021-09-22,4150.18994140625,463.2000122070313
2021-09-23,4194.919921875,467.5
2021-09-24,4158.509765625,463.2900085449219
2021-09-27,4165.47998046875,462.4200134277344
2021-09-28,4058.820068359375,452.3500061035156
2021-09-29,4080.219970703125,455.0299987792969
2021-09-30,4048.080078125,454.80999755859375
